,Name of  movie,Year of release,Watchtime,Movie Rating,Metascore,Votes,Gross collection in millions,Director,Star,Genre
32,Everything Is Illuminated,2005,106 ,7.4,58        ,"59,801",$1.71M,Liev Schreiber,Elijah Wood,Comedy
33,No Way Out,1987,114 ,7.1,77        ,"45,447",$35.51M,Roger Donaldson,Kevin Costner,Action
34,State of Grace,1990,134 ,7.2,60        ,"24,579",$1.91M,Phil Joanou,Sean Penn,Action
35,The Hunger Games: Catching Fire,2013,146 ,7.5,76        ,"716,326",$424.67M,Francis Lawrence,Jennifer Lawrence,Action
36,Miracle on 34th Street,1947,96 ,7.9,88        ,"54,750",$2.65M,George Seaton,Edmund Gwenn,Comedy
37,Big Fish,2003,125 ,8,58        ,"457,199",$66.26M,Tim Burton,Ewan McGregor,Adventure
38,Analyze This,1999,103 ,6.7,60        ,"161,090",$106.89M,Harold Ramis,Robert De Niro,Comedy
39,Ben-Hur,1959,212 ,8.1,90        ,"251,765",$74.70M,William Wyler,Charlton Heston,Adventure
40,Top Secret!,1984,90 ,7.2,68        ,"72,449",$20.50M,Jim Abrahams,David Zucker,Comedy
41,Fast Five,2011,130 ,7.3,66        ,"405,024",$209.84M,Justin Lin,Vin Diesel,Action
42,An Officer and a Gentleman,1982,124 ,7,75        ,"61,816",$129.80M,Taylor Hackford,Richard Gere,Drama
43,Mystic River,2003,138 ,7.9,84        ,"482,954",$90.14M,Clint Eastwood,Sean Penn,Crime
44,Shut Up and Play the Hits,2012,108 ,7.3,72        ,"2,881",$0.51M,Will Lovelace,Dylan Southern,Documentary
45,Bobby Fischer Against the World,2011,93 ,7.4,76        ,"7,391",nan,Liz Garbus,Bobby Fischer,Documentary
46,Southern Comfort,1981,106 ,7.1,63        ,"21,568",$5.00M,Walter Hill,Keith Carradine,Action
47,Rocky II,1979,119 ,7.3,61        ,"229,723",nan,Sylvester Stallone,Sylvester Stallone,Drama
48,Time Bandits,1981,116 ,6.9,79        ,"67,883",$42.37M,Terry Gilliam,Sean Connery,Adventure
49,Jungle Fever,1991,132 ,6.6,78        ,"19,548",$32.48M,Spike Lee,Wesley Snipes,Drama
50,Down Terrace,2009,93 ,6.4,68        ,"4,136",$0.01M,Ben Wheatley,Robin Hill,Crime
51,"Play It Again, Sam",1972,85 ,7.6,77        ,"27,875",$2.30M,Herbert Ross,Woody Allen,Comedy
52,Bill & Ted's Bogus Journey,1991,93 ,6.3,61        ,"80,703",$38.04M,Peter Hewitt,Keanu Reeves,Adventure
53,Napoleon Dynamite,2004,96 ,7,64        ,"236,125",$44.54M,Jared Hess,Jon Heder,Comedy            
54,We Need to Talk About Kevin,2011,112 ,7.5,68        ,"166,668",$1.74M,Lynne Ramsay,Tilda Swinton,Drama
55,August: Osage County,2013,121 ,7.2,58        ,"94,990",$37.74M,John Wells,Meryl Streep,Comedy
56,The Wedding Singer,1998,97 ,6.9,60        ,"161,267",$80.25M,Frank Coraci,Adam Sandler,Comedy
57,The Naked Gun 2½: The Smell of Fear,1991,85 ,6.9,65        ,"121,304",$86.93M,David Zucker,Leslie Nielsen,Comedy
58,Midnight in Paris,2011,94 ,7.6,81        ,"447,788",$56.82M,Woody Allen,Owen Wilson,Comedy
59,Philadelphia,1993,125 ,7.7,66        ,"256,617",$77.32M,Jonathan Demme,Tom Hanks,Drama            
60,Beowulf,2007,115 ,6.3,59        ,"173,580",$82.16M,Robert Zemeckis,Ray Winstone,Animation
61,Deep Cover,1992,107 ,7,67        ,"13,876",$16.64M,Bill Duke,Laurence Fishburne,Action
62,Runaway Jury,2003,127 ,7.1,61        ,"104,074",$49.44M,Gary Fleder,John Cusack,Crime
63,Save the Tiger,1973,100 ,6.9,nan,"5,567",$2.33M,John G. Avildsen,Jack Lemmon,Drama            
64,Mississippi Burning,1988,128 ,7.8,65        ,"109,555",$34.60M,Alan Parker,Gene Hackman,Crime
65,Goon,2011,92 ,6.8,64        ,"90,484",$4.17M,Michael Dowse,Seann William Scott,Comedy
66,Final Destination,2000,98 ,6.7,39        ,"277,277",$53.33M,James Wong,Devon Sawa,Horror
67,Fletch,1985,98 ,6.9,68        ,"57,409",$50.61M,Michael Ritchie,Chevy Chase,Comedy
68,The Lion King,1994,88 ,8.5,88        ,"1,132,720",$422.78M,Roger Allers,Rob Minkoff,Animation
69,Sleeper,1973,89 ,7.1,77        ,"44,654",$2.91M,Woody Allen,Woody Allen,Comedy
70,Shichinin no samurai,1954,207 ,8.6,98        ,"364,427",$0.27M,Akira Kurosawa,Toshirô Mifune,Action
71,Amy, 2015,128 ,7.8,85        ,"54,595",$8.41M,Asif Kapadia,Amy Winehouse,Documentary
72,The Lobster,2015,119 ,7.1,82        ,"290,123",$8.70M,Yorgos Lanthimos,Colin Farrell,Drama
73,Commando,1985,90 ,6.7,51        ,"173,578",$35.10M,Mark L. Lester,Arnold Schwarzenegger,Action
74,Ted,2012,106 ,6.9,62        ,"652,743",$218.82M,Seth MacFarlane,Mark Wahlberg,Comedy            
75,The 40 Year Old Virgin,2005,116 ,7.1,73        ,"463,778",$109.45M,Judd Apatow,Steve Carell,Comedy
76,Mary Poppins,1964,139 ,7.8,88        ,"184,883",$102.27M,Robert Stevenson,Julie Andrews,Comedy
77,The Sound of Music,1965,172 ,8.1,63        ,"258,463",$163.21M,Robert Wise,Julie Andrews,Biography
78,Arrival, 2016,116 ,7.9,81        ,"757,884",$100.55M,Denis Villeneuve,Amy Adams,Drama
79,Uncut Gems,2019,135 ,7.4,92        ,"314,836",nan,Benny Safdie,Josh Safdie,Crime
80,Manchester by the Sea,2016,137 ,7.8,96        ,"309,923",$47.70M,Kenneth Lonergan,Casey Affleck,Drama            
81,Blade Runner 2049,2017,164 ,8,81        ,"650,898",$92.05M,Denis Villeneuve,Harrison Ford,Action
82,Baby Driver,2017,113 ,7.5,86        ,"601,997",$107.83M,Edgar Wright,Ansel Elgort,Action
83,Thor: Ragnarok,2017,130 ,7.9,74        ,"810,011",$315.06M,Taika Waititi,Chris Hemsworth,Action
84,Detroit,2017,143 ,7.3,77        ,"55,728",$16.79M,Kathryn Bigelow,John Boyega,Crime
85,Guardians of the Galaxy Vol. 2,2017,136 ,7.6,67        ,"753,487",$389.81M,James Gunn,Chris Pratt,Action
86,The Ballad of Buster Scruggs,2018,133 ,7.2,79        ,"166,461",nan,Ethan Coen,Joel Coen,Comedy
87,The Post,2017,116 ,7.2,83        ,"161,168",$81.90M,Steven Spielberg,Meryl Streep,Biography
88,Hellboy II: The Golden Army,2008,120 ,7,78        ,"284,633",$75.75M,Guillermo del Toro,Ron Perlman,Action
89,Dear Zachary: A Letter to a Son About His Father,2008,95 ,8.5,82        ,"40,365",$0.02M,Kurt Kuenne,Kurt Kuenne,Documentary
90,The Edge of Seventeen,2016,104 ,7.3,77        ,"139,243",$14.43M,Kelly Fremon Craig,Hailee Steinfeld,Comedy
91,13th,2016,100 ,8.2,81        ,"37,499",nan,Ava DuVernay,Melina Abdullah,Documentary
92,Molly's Game,2017,140 ,7.4,71        ,"185,969",$28.78M,Aaron Sorkin,Jessica Chastain,Biography
93,Free Fire,2016,91 ,6.3,63        ,"50,345",$1.80M,Ben Wheatley,Sharlto Copley,Action
94,A Star Is Born,2018,136 ,7.6,88        ,"415,774",$215.29M,Bradley Cooper,Lady Gaga,Drama
95,Blade II,2002,117 ,6.7,52        ,"232,867",$82.35M,Guillermo del Toro,Wesley Snipes,Action
96,Falling Down,1993,113 ,7.6,56        ,"205,133",$40.90M,Joel Schumacher,Michael Douglas,Action
97,Eyes Wide Shut,1999,159 ,7.5,69        ,"371,998",$55.69M,Stanley Kubrick,Tom Cruise,Drama
98,The Lost Boys,1987,97 ,7.2,63        ,"159,798",$32.22M,Joel Schumacher,Jason Patric,Comedy
99,Deadpool 2,2018,119 ,7.6,66        ,"638,250",$324.59M,David Leitch,Ryan Reynolds,Action
